Name,Status,Province,Population
Socca Patja,Locality,Puno,211
Solitario,Locality,Huancané,252
Sorajon,Locality,Huancané,252
Soraycho Umabamba,Locality,Huancané,247
Soraza,Locality,Puno,319
Suagachi (IV Sector),Locality,Huancané,325
Suana,Locality,Yunguyo,336
Suara,Locality,Sandia,360
Sucano,Locality,El Collao,276
Sucasco,Locality,Puno,977
Sucuihuincalla,Locality,Yunguyo,259
Sulcacatura I,Locality,El Collao,346
Sulcacatura II,Locality,El Collao,327
Sullata,Locality,Azangaro,212
Sullka Cercado,Locality,Moho,222
Sutuca Anansaya,Locality,Lampa,202
Tacasaya,Locality,Puno,306
Tahuacachi,Locality,Azangaro,271
Tahuana,Locality,Carabaya,243
Tajquina Calajauira,Locality,Puno,346
Tambillo,Main Locality,Carabaya,525
Tambillo,Locality,Chucuito,408
Tambo,Locality,Azangaro,222
Taniri Circa Chinga,Locality,Chucuito,311
Tantamaco,Urban Locality,Carabaya,656
Taraco,Main Locality,Huancané,"1,862"
Tasapa Patacollo,Urban Locality,Chucuito,163
Taucamaya,Locality,Yunguyo,244
Tayaccucho,Locality,Carabaya,306
Tayataya,Urban Locality,San Román,190
Taype,Locality,Carabaya,335
Thunco,Locality,Puno,238
Ticaraya,Locality,Chucuito,435
Ticona Cusullaca,Locality,El Collao,282
Tilali,Main Locality,Moho,705
Tincopalca,Locality,San Román,236
Tinicachi,Main Locality,Yunguyo,605
Tintiri,Locality,Azangaro,239
Tiquillaca,Main Locality,Puno,369
Tiraca,Locality,Sandia,302
Tirapata,Main Locality,Azangaro,660
Tirapunco,Locality,San Antonio de Putina,250
Tisihua,Locality,Chucuito,303
Titijo,Locality,Puno,225
Toldoqueri,Locality,Sandia,751
Torasaya,Locality,Puno,206
Totorani [in: Puno district],Urban Locality,Puno,"1,233"
Totorani [in: Ácora district],Urban Locality,Puno,208
Totoroma,Locality,Chucuito,292
Tumuyo (Pichacani),Locality,Azangaro,225
Tupac Amaru,Locality,Azangaro,347
Uchuhuma,Locality,Carabaya,233
Ullacachi,Locality,El Collao,334
Umachiri,Main Locality,Melgar,780
Unidas Jilata,Locality,El Collao,208
Union Soratira,Urban Locality,Azangaro,503
Unocolla,Locality,San Román,442
Untuca,Locality,Sandia,448
Untuca Arriba,Locality,Sandia,363
Upina,Locality,Carabaya,"1,094"
Ura Ayllu,Locality,Sandia,669
Urani Marcacollo,Locality,El Collao,248
Uros Chulluni (Santa Maria Cucho),Locality,Puno,230
Usicayos,Urban Main Locality,Carabaya,"2,464"
Victoria,Locality,Sandia,295
Vilavila,Main Locality,Lampa,513
Vilca Chile,Locality,El Collao,264
Villamar Aychuyo,Locality,Yunguyo,404
Villa Santiago,Locality,Chucuito,262
Vilque,Main Locality,Puno,918
Vilque Chico,Main Locality,Huancané,469
Virgen del Rosario Sollocota,Locality,Azangaro,879
Vizcachani,Locality,Chucuito,269
Winchumayo,Locality,Carabaya,444
Yamura Sacasco,Locality,Huancané,362
Yanacocha,Locality,Melgar,266
Yanacocha,Locality,Sandia,206
Yanahuaya,Main Locality,Sandia,"1,052"
Yanamayo,Locality,Puno,216
Yanamayo,Locality,Sandia,495
Yaurima,Locality,El Collao,232
Yocara,Locality,San Román,418
Yorohoco A,Locality,Chucuito,294
Yunguyo,Urban Main Locality,Yunguyo,"11,946"
Yuntamury,Locality,Huancané,264
Zepita,Urban Main Locality,Chucuito,"1,499"
Zona Lago,Locality,Huancané,230
